Date,Source,kwh,Temperature (°C),Dewpoint Temperature (°C),U Wind Component (m/s),V Wind Component (m/s),Total Precipitation (mm),Snowfall (mm),Snow Cover (%),consumer_device,data_user,day_of_week,is_weekend,day_of_year,Week,Month,temp_dew_diff,wind_speed,precip_snow_ratio
2024-07-22,consumer_device_10_data_user_1,0.0243301524166643,14.719595845666667,8.280669148708332,0.022654851249999997,-0.10499763479166668,0.0730489,0.0,0.0,10,1,0,0,204,30,7,6.438926696958335,0.10741389852809477,73048.90000000001
2024-07-23,consumer_device_10_data_user_1,0.10355964899999259,13.217268244458333,9.862699763250001,0.11613655091666668,-0.07799720754166665,0.121921481,0.0,0.0,10,1,1,0,205,30,7,3.3545684812083323,0.13989732964970178,121921.481
2024-07-24,consumer_device_10_data_user_1,0.13754253833332428,12.462190246625,9.865658060958333,0.103451410875,-0.07502758500000001,0.119983527,0.0,0.0,10,1,2,0,206,30,7,2.596532185666666,0.12779410363142854,119983.52700000002
2024-07-25,consumer_device_10_data_user_1,0.1210108384166573,13.867550786041667,8.973798369958333,0.06634457904166666,-0.04318177695833333,0.034282871,0.0,0.0,10,1,3,0,207,30,7,4.893752416083334,0.07915976900860185,34282.871
2024-07-26,consumer_device_10_data_user_1,0.0,15.572608566541668,9.434733962708334,0.09302457175,0.046413977999999995,0.006961481,0.0,0.0,10,1,4,0,208,30,7,6.137874603833334,0.10396070557213136,6961.481000000001
2024-07-27,consumer_device_10_data_user_1,0.0,16.214178340125,11.233743285958333,0.149950663125,0.14269979800000002,0.008957544,0.0,0.0,10,1,5,1,209,30,7,4.980435054166666,0.20699863217149053,8957.544
2024-07-28,consumer_device_10_data_user_1,0.5062076145833267,16.61163800583333,12.391137695833335,0.10092544558333333,0.14363940554166665,0.00536947,0.0,0.0,10,1,6,1,210,30,7,4.220500309999997,0.1755512016209452,5369.47
2024-07-29,consumer_device_10_data_user_1,0.16224065333333332,15.555455144166666,12.654461160833334,-0.011446634999999997,0.03228239220833333,0.08539931,0.0,0.0,10,1,0,0,211,31,7,2.9009939833333327,0.03425169046216384,85399.31000000001
2024-07-30,consumer_device_10_data_user_1,1.3618397769999993,14.661482110833333,12.349131520833334,-0.11460049945833334,0.027360240666666664,0.075385305,0.0,0.0,10,1,1,0,212,31,7,2.3123505899999994,0.1178212936842801,75385.30500000001
2024-07-31,consumer_device_10_data_user_1,0.014253664499998433,15.178498204583333,12.346530533333334,0.09781328833333332,0.060105641666666654,0.042462511,0.0,0.0,10,1,2,0,213,31,7,2.8319676712499984,0.11480473655185806,42462.511000000006
2024-08-01,consumer_device_10_data_user_1,0.0,15.432677840833334,12.410061772916668,0.12944793708333333,0.31133015954166665,0.057614858,0.0,0.0,10,1,3,0,214,31,8,3.0226160679166654,0.33716944798627624,57614.858
2024-08-02,consumer_device_10_data_user_1,0.0090432012499996,14.622766749166667,12.998541767916668,0.06281598404166668,0.39714940395833337,0.15059115,0.0,0.0,10,1,4,0,215,31,8,1.6242249812499985,0.40208642965857777,150591.15000000002
2024-08-03,consumer_device_10_data_user_1,0.0,14.697415925,11.828499730416667,0.15608469641666667,0.5058619975416666,0.093773364,0.0,0.0,10,1,5,1,216,31,8,2.868916194583333,0.5293947421464706,93773.364
2024-08-04,consumer_device_10_data_user_1,0.0,13.5617112475,10.898214595125,0.08623313912499998,0.124201417,0.189738878,0.0,0.0,10,1,6,1,217,31,8,2.6634966523750006,0.15120233552481752,189738.878
2024-08-05,consumer_device_10_data_user_1,0.0,14.643549854958332,11.656413014958334,0.22425397233333333,0.31779011087500003,0.033353586000000005,0.0,0.0,10,1,0,0,218,32,8,2.987136839999998,0.38894780970873744,33353.586
2024-08-06,consumer_device_10_data_user_1,0.0,14.888746515416665,12.547215397916666,0.32660484316666666,0.528191884375,0.023869361,0.0,0.0,10,1,1,0,219,32,8,2.341531117499999,0.6210131965582827,23869.361
2024-08-07,consumer_device_10_data_user_1,0.0,14.416216150833334,10.817157999666668,0.09494272862499999,0.33709589641666665,0.02792426,0.0,0.0,10,1,2,0,220,32,8,3.599058151166666,0.3502110293804529,27924.260000000002
2024-08-08,consumer_device_10_data_user_1,0.0,14.959219234166667,10.402183150583333,0.01644833891666667,0.30359399325,0.008683102,0.0,0.0,10,1,3,0,221,32,8,4.557036083583334,0.3040392418596629,8683.102
2024-08-09,consumer_device_10_data_user_1,0.0,15.367472584583334,10.959879811374998,0.14448610941666667,0.27621225516666664,0.01013099,0.0,0.0,10,1,4,0,222,32,8,4.407592773208336,0.31172014005934995,10130.99
2024-08-10,consumer_device_10_data_user_1,0.0208702119999984,15.268362934999999,10.574417368666667,0.3057551781666667,0.33294415470833333,0.007514016,0.0,0.0,10,1,5,1,223,32,8,4.693945566333332,0.4520376523368122,7514.0160000000005
2024-08-11,consumer_device_10_data_user_1,0.0009041872499999,14.463960901666667,9.637120182541667,0.20632044479166667,0.4524170160416667,0.024119006,0.0,0.0,10,1,6,1,224,32,8,4.826840719125,0.49724167398064784,24119.006
2024-08-12,consumer_device_10_data_user_1,0.0016645832499997998,14.10912984125,9.244005457291667,0.15549786883333333,0.16261672979166666,0.012597506,0.0,0.0,10,1,0,0,225,33,8,4.865124383958333,0.2249973066946457,12597.506
2024-08-13,consumer_device_10_data_user_1,0.0016703857499998,15.65887285875,10.508381143625,0.1713059742916667,0.34266992404166663,0.003638075,0.0,0.0,10,1,1,0,226,33,8,5.150491715125,0.3831036591716904,3638.0750000000003
2024-08-14,consumer_device_10_data_user_1,1.2637923449166664,16.525053278333335,11.732949828499999,0.18455568941666667,0.37148595954166663,0.021259418,0.0,0.0,10,1,2,0,227,33,8,4.792103449833336,0.41480431607283685,21259.417999999998
2024-08-15,consumer_device_10_data_user_1,2.0438874452499993,14.811746217500001,13.005553181666668,-0.008986790958333336,0.20139789575,0.055484475,0.0,0.0,10,1,3,0,228,33,8,1.8061930358333331,0.20159830064823625,55484.475
2024-08-16,consumer_device_10_data_user_1,0.1702164999166621,13.786072032166667,11.617789205583334,-0.044086456291666666,0.15300440791666667,0.102398938,0.0,0.0,10,1,4,0,229,33,8,2.168282826583333,0.1592292827035491,102398.938
2024-08-17,consumer_device_10_data_user_1,0.0053461929999996,12.947856521250001,10.824217732125,0.0446949005,0.26412264504166666,0.145903838,0.0,0.0,10,1,5,1,230,33,8,2.1236387891250015,0.26787759472287176,145903.83800000002
2024-08-18,consumer_device_10_data_user_1,0.1164836005833319,13.719487761666668,11.211630121583333,0.21616172795833333,0.3640423219166667,0.094201427,0.0,0.0,10,1,6,1,231,33,8,2.5078576400833352,0.42338245686425235,94201.42700000001
2024-08-19,consumer_device_10_data_user_1,0.0210027867499987,12.588576253333335,10.295052464791667,0.16921806333333334,0.3249177535,0.028323422,0.0,0.0,10,1,0,0,232,34,8,2.293523788541668,0.36634177962357883,28323.422000000002
